impl,scenario,throughput_ops_sec,workload
framework,retrieve_user,34.607965466300456,50
direct,retrieve_user,5756.654694157824,50
framework,retrieve_user,34.69544649321504,100
direct,retrieve_user,3572.8321847482916,100
framework,retrieve_user,35.0402594184086,200
direct,retrieve_user,3967.592701771506,200
framework,retrieve_user,35.38019652053789,400
direct,retrieve_user,4045.773885517549,400
framework,access_nested,35.80265946437518,50
direct,access_nested,187.34260878777383,50
framework,access_nested,34.07880724178034,100
direct,access_nested,193.492049703098,100
framework,access_nested,34.528284759409004,200
direct,access_nested,203.48970601419833,200
framework,access_nested,34.343299069012666,400
direct,access_nested,203.27242173540773,400
framework,update_multi,22.92448897999977,50
direct,update_multi,138.92203723003567,50
framework,update_multi,22.170461584618185,100
direct,update_multi,137.42991761158714,100
framework,update_multi,22.30358197199307,200
direct,update_multi,138.4145115980612,200
framework,update_multi,22.04810806783177,400
direct,update_multi,136.5112655404426,400
